DEPTH,CMRP_3MS,CMFF,BVI
4661.5,0.35689,0.23058,0.12631
4662,0.35754,0.237875,0.119665
4662.5,0.35819,0.24517,0.11302
4663,0.34737,0.25353,0.09385
4663.5,0.33813,0.25194,0.08618
4664,0.33871,0.25105,0.08765
4664.5,0.34574,0.25275,0.09299
4665,0.35137,0.250935,0.10043
4665.5,0.357,0.24912,0.10787
4666,0.366,0.24608,0.11992
4666.5,0.36844,0.2438,0.12464
4667,0.36523,0.22587,0.13937
4667.5,0.35303,0.18425,0.16878
4668,0.33956,0.162405,0.177155
4668.5,0.32609,0.14056,0.18553
4669,0.30075,0.10885,0.1919
4669.5,0.29031,0.08597,0.20434
4670,0.28766,0.07146,0.21619
4670.5,0.28658,0.06061,0.22597
4671,0.29096,0.05145,0.239515
4671.5,0.29534,0.04229,0.25306
4672,0.3098,0.03089,0.27891
4672.5,0.31401,0.03829,0.27572
4673,0.30609,0.05266,0.25343
4673.5,0.30527,0.06317,0.2421
4674,0.31176,0.07077,0.240985
4674.5,0.31825,0.07837,0.23987
4675,0.3391,0.09438,0.24472
4675.5,0.34515,0.1019,0.24326
4676,0.33189,0.10136,0.23053
4676.5,0.31877,0.10048,0.21829
4677,0.316605,0.09999,0.216615
4677.5,0.31444,0.0995,0.21494
4678,0.31624,0.09056,0.22568
4678.5,0.31773,0.07351,0.24422
4679,0.31686,0.05904,0.25782
4679.5,0.3163,0.04435,0.27195
4680,0.315695,0.03818,0.277515
4680.5,0.31509,0.03201,0.28308
4681,0.30826,0.02352,0.28474
4681.5,0.29952,0.01661,0.28291
4682,0.29639,0.01219,0.28421
4682.5,0.3142,0.01978,0.29442
4683,0.32971,0.02361,0.306105
4683.5,0.34522,0.02744,0.31779
4684,0.36283,0.03807,0.32476
4684.5,0.3637,0.06265,0.30106
4685,0.36498,0.10059,0.26439
4685.5,0.37714,0.14355,0.23359
4686,0.38268,0.162265,0.22041
4686.5,0.38822,0.18098,0.20723
4687,0.39324,0.20608,0.18716
4687.5,0.39097,0.2035,0.18748
4688,0.38771,0.2048,0.18291
4688.5,0.38607,0.22382,0.16225
4689,0.38324,0.235985,0.147255
4689.5,0.38041,0.24815,0.13226
4690,0.36351,0.26438,0.09913
